ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value;note_source.label;;;;;;;;;;;;;;;;;;;;;;;;
Austria;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;72674;Repository: ILO-STATISTICS - Micro data processing;;;;;;;;;;;;;;;;;;;;;;;;
Austria;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;28163;Repository: ILO-STATISTICS - Micro data processing;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;109190;Repository: Eurostat special tabulation;;;source link: https://rshiny.ilo.org/dataexplorer13/?lang=en&id=EMP_TEMP_SEX_EC2_NB_A;;;;;;;;;;;;;;;;;;;;;
Belgium;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;28195;Repository: Eurostat special tabulation;;;source link 2: https://rplumber.ilo.org/data/indicator/?id=EMP_TEMP_SEX_EC2_NB_A&ref_area=ALB+AUT+BLR+BEL+BIH+BGR+HRV+CZE+DNK+EST+FIN+FRA+DEU+GRC+HUN+ISL+IRL+ITA+KOS+LVA+LTU+LUX+MLT+NLD+MKD+NOR+POL+PRT+ROU+SRB+SVK+SVN+ESP+SWE+CHE+UKR+GBR&sex=SEX_M+SEX_F&classif1=EC2_ISIC4_J62&timefrom=2014&type=label&format=.csv;;;;;;;;;;;;;;;;;;;;;
Bulgaria;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;45470;Repository: Eurostat special tabulation;;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;21458;Repository: Eurostat special tabulation;;;;;;;;;;;;;;;;;;;;;;;;
Czechia;LFS - Labour Force Sample Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;95409;Repository: ILO-STATISTICS - Micro data processing;;;;;;;;;;;;;;;;;;;;;;;;
Czechia;LFS - Labour Force Sample Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;28284;Repository: ILO-STATISTICS - Micro data processing;;;;;;;;;;;;;;;;;;;;;;;;
Germany;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;714995;Repository: Eurostat special tabulation;;;;;;;;;;;;;;;;;;;;;;;;
Germany;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;243558;Repository: Eurostat special tabulation;;;Somma di obs_value;Etichette di colonna;;;;;;;;;;;;;;;;;;;;
Denmark;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;57681;Repository: Eurostat special tabulation;;;Etichette di riga;Sex: Female;Sex: Male;Totale complessivo;;Somma di obs_value;Etichette di colonna;;;;;;;;;;;;;;;
Denmark;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;14608;Repository: Eurostat special tabulation;;;Austria;28.163,000;72.674,000;100.837,000;;Etichette di riga;Sex: Female;Sex: Male;Totale complessivo;;;;;;;;;;;;;
Spain;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;339395;Repository: Eurostat special tabulation;;;Belgium;28.195,000;109.190,000;137.385,000;;Austria;27,93%;72,07%;100,00%;;;;;;;;;;;;;
Spain;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;104652;Repository: Eurostat special tabulation;;;Bulgaria;21.458,000;45.470,000;66.928,000;;Belgium;20,52%;79,48%;100,00%;;;;;;;;;;;;;
Estonia;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;17709;Repository: Eurostat special tabulation;;;Croatia;6.252,000;23.210,000;29.462,000;;Bulgaria;32,06%;67,94%;100,00%;;;;;;;;;;;;;
Estonia;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;6425;Repository: Eurostat special tabulation;;;Czechia;28.284,000;95.409,000;123.693,000;;Croatia;21,22%;78,78%;100,00%;;;;;;SEX;%;;;SEX 2014;%;SEX 2022;%
Finland;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;63593;Repository: Eurostat special tabulation;;;Denmark;14.608,000;57.681,000;72.289,000;;Czechia;22,87%;77,13%;100,00%;;;;;;MALE 2014;77,77%;;;UOMINI ;77,77%;UOMINI;75,59%
Finland;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;21727;Repository: Eurostat special tabulation;;;Estonia;6.425,000;17.709,000;24.134,000;;Denmark;20,21%;79,79%;100,00%;;;;;;MALE 2022;75,59%;;;DONNE;22,23%;DONNE;24,41%
France;LFS - Employment Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;374514;Repository: ILO-STATISTICS - Micro data processing;;;Finland;21.727,000;63.593,000;85.320,000;;Estonia;26,62%;73,38%;100,00%;;;;;;FEMALE 2014;22,23%;;;;;;
France;LFS - Employment Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;124653;Repository: ILO-STATISTICS - Micro data processing;;;France;124.653,000;374.514,000;499.167,000;;Finland;25,47%;74,53%;100,00%;;;;;;FEMALE 2022;24,41%;;;;;;
Greece;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;34630;Repository: ILO-STATISTICS - Micro data processing;;;Germany;243.558,000;714.995,000;958.553,000;;France;24,97%;75,03%;100,00%;;;;;;;;;;;;;
Greece;LFS - Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;11534;Repository: ILO-STATISTICS - Micro data processing;;;Greece;11.534,000;34.630,000;46.164,000;;Germany;25,41%;74,59%;100,00%;;;;;;;;;;;;;
Croatia;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Male;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;23210;Repository: Eurostat special tabulation;;;Hungary;20.874,000;78.602,000;99.476,000;;Greece;24,98%;75,02%;100,00%;;;;;;;;;;;;;
Croatia;LFS - EU Labour Force Survey;Employment by sex and economic activity - ISIC level 2 (thousands);Sex: Female;Economic activity (ISIC-Rev.4), 2 digit level: 62 - Computer programming, consultancy and related activities;2022;6252;Repository: Eurostat special tabulation;;;Ireland;34.191,000;85.155,000;119.346,000;;Hungary;20,98%;79,02%;100,00%;;;;;;;;;;;;;
